f7  76  8e
f9  80  80
f7  8b  74
f2  97  6c
ea  a3  68
e0  af  68
c9  bc  6d
b1  c7  7c
99  cf  94
83  d6  af
73  da  ca
4d  d3  d9
27  ca  e9
26  bf  f5
4f  b2  fb
7a  a2  f7
